Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
"4-Hydroperoxy-4-methyl-2,5-cyclohexadien-1-one",13461289,,57749-82-3,C7H8O3,CC1(C=CC(=O)C=C1)OO
"2-(1,1-Dimethylethyl)-4-hydroperoxy-4-methyl-2,5-cyclohexadien-1-one",91081867,,74233-07-1,C11H16O3,O=C1C=CC(OO)(C=C1C(C)(C)C)C
"4-hydroperoxy-2,4-dimethyl-2,5-cyclohexadien-1-one",167713494,,42489-06-5,C8H10O3,CC1=CC(C=CC1=O)(C)OO
Diclofenac,3033,,15307-86-5,C14H11Cl2NO2,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
"1,3,5-Trichlorobenzene",7950,,108-70-3,C6H3Cl3,C1=C(C=C(C=C1Cl)Cl)Cl
"1,2-Dichlorobenzene",7239,,95-50-1,C6H4Cl2,C1=CC=C(C(=C1)Cl)Cl
Pentachlorobenzene,11855,,608-93-5,C6HCl5,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl
"N-[3-[1-[5,6-Dihydro-4-hydroxy-2-oxo-6-(2-phenylethyl)-6-propyl-2H-pyran-3-yl]-2,2-dimethylpropyl]phenyl]-1-methyl-1H-imidazole-4-sulfonamide",54688899,,174484-00-5,C31H39N3O5S,O=C1OC(CC(O)=C1C(C=2C=CC=C(C2)NS(=O)(=O)C=3N=CN(C3)C)C(C)(C)C)(CCC=4C=CC=CC4)CCC
(13R)-13-Hydroxytetradecanoic acid,11086022,,88851-72-3,C14H28O3,CC(CCCCCCCCCCCC(=O)O)O
(12R)-12-Hydroxytetradecanoic acid,100999258,,252979-90-1,C14H28O3,CCC(CCCCCCCCCCC(=O)O)O
(Hexahydro-1(2H)-azocinyl)phenylmethanone,3275374,,17721-46-9,C14H19NO,C1CCCN(CCC1)C(=O)C2=CC=CC=C2
1-Azidoadamantane,357114,,24886-73-5,C10H15N3,C1C2CC3CC1CC(C2)(C3)N=[N+]=[N-]
"1,3-Diisopropylbenzene",7450,,99-62-7,C12H18,CC(C)C1=CC(=CC=C1)C(C)C
Phenyl 7-azabicyclo[2.2.1]heptane-7-carboxylate,85721476,,188624-93-3,C13H15NO2,C1CC2CCC1N2C(=O)OC3=CC=CC=C3
"1,1-Dimethylethyl 7-azabicyclo[2.2.1]heptane-7-carboxylate",10921489,,188624-94-4,C11H19NO2,CC(C)(C)OC(=O)N1C2CCC1CC2
(2-Methyl-1-piperidinyl)phenylmethanone,275047,,51874-05-6,C13H17NO,CC1CCCCN1C(=O)C2=CC=CC=C2
1-(2-Methylcyclopropyl)-4-(trifluoromethyl)benzene,13275083,,214628-25-8,C11H11F3,CC1CC1C2=CC=C(C=C2)C(F)(F)F
(2-Methylcyclopropyl)benzene,137839,,3145-76-4,C10H12,CC1CC1C2=CC=CC=C2
Thiomorpholine,67164,,123-90-0,C4H9NS,C1CSCCN1
Morpholine,8083,,110-91-8,C4H9NO,C1COCCN1
Hesperetin,72281,,520-33-2,C16H14O6,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
Apigenin,5280443,,520-36-5,C15H10O5,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Tamarixetin,5281699,,603-61-2,C16H12O7,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
Galangin,5281616,,548-83-4,C15H10O5,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
(-)-Maackiain,91510,,2035-15-6,C16H12O5,C1C2C(C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5
Nefiracetam,71157,,77191-36-7,C14H18N2O2,CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O
(-)-Arctigenin,64981,,7770-78-7,C21H24O6,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC
cis-beta-Methylstyrene,252324,,766-90-5,C9H10,CC=CC1=CC=CC=C1
trans-beta-Methylstyrene,252325,,873-66-5,C9H10,CC=CC1=CC=CC=C1
Allylbenzene,9309,,300-57-2,C9H10,C=CCC1=CC=CC=C1
(-)-Camphor,444294,,464-48-2,C10H16O,CC1(C2CCC1(C(=O)C2)C)C
"(1R,4S)-1,7,7-Trimethyl-5-methylenebicyclo[2.2.1]heptan-2-one",101237419,,154614-03-6,C11H16O,O=C1CC2C(=C)CC1(C)C2(C)C
Gestodene,3033968,,60282-87-3,C21H26O2,CCC12CCC3C(C1C=CC2(C#C)O)CCC4=CC(=O)CCC34
Toluene,1140,,108-88-3,C7H8,CC1=CC=CC=C1
Acetanilide,904,,103-84-4,C8H9NO,CC(=O)NC1=CC=CC=C1
(-)-Norcamphor,449588,,29583-35-5,C7H10O,C1CC2CC1CC2=O
"(1R,4S)-1-Methylbicyclo[2.2.1]heptan-2-one",11105364,,119565-94-5,C8H12O,CC12CCC(C1)CC2=O
Benzo[a]pyrene,2336,,50-32-8,C20H12,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
1-(Ethylthio)-4-methylbenzene,136431,,622-63-9,C9H12S,CCSC1=CC=C(C=C1)C
4-Methyltryptophan,96374,,1954-45-6,C12H14N2O2,CC1=C2C(=CC=C1)NC=C2CC(C(=O)O)N
4-Phenyl-L-tryptophan,122499646,,1989668-87-2,C17H16N2O2,O=C(O)C(N)CC1=CNC2=CC=CC(C=3C=CC=CC3)=C21
5-Cyclopropyl-L-tryptophan,122499511,,1989668-88-3,C14H16N2O2,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)C3CC3
6-Cyclopropyl-L-tryptophan,122499602,,1989668-89-4,C14H16N2O2,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C3CC3
7-Cyclopropyl-L-tryptophan,122499506,,1989668-90-7,C14H16N2O2,O=C(O)C(N)CC1=CNC2=C1C=CC=C2C3CC3
4-Cyclopropyl-L-tryptophan,122499650,,1989668-91-8,C14H16N2O2,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)C3CC3
5-Ethenyl-L-tryptophan,122499603,,1989668-92-9,C13H14N2O2,O=C(O)C(N)CC1=CNC=2C=CC(C=C)=CC21
4-Ethenyl-L-tryptophan,122499649,,1989668-93-0,C13H14N2O2,O=C(O)C(N)CC1=CNC=2C=CC=C(C=C)C21
4-Ethynyl-L-tryptophan,122499648,,1989668-94-1,C13H12N2O2,O=C(O)C(N)CC1=CNC=2C=CC=C(C#C)C21
5-(4-Morpholinyl)-L-tryptophan,134259602,,1989668-95-2,C15H19N3O3,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)N3CCOCC3
6-(4-Morpholinyl)-L-tryptophan,134259603,,1989668-96-3,C15H19N3O3,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)N3CCOCC3
7-(4-Morpholinyl)-L-tryptophan,122499481,,1989668-97-4,C15H19N3O3,O=C(O)C(N)CC1=CNC2=C1C=CC=C2N3CCOCC3
4-(4-Morpholinyl)-L-tryptophan,122499598,,1989668-98-5,C15H19N3O3,O=C(O)C(N)CC1=CNC2=CC=CC(=C21)N3CCOCC3
6-(Methylthio)-L-tryptophan,122499538,,1989668-99-6,C12H14N2O2S,O=C(O)C(N)CC1=CNC=2C=C(SC)C=CC21
7-(Methylthio)-L-tryptophan,122499480,,1989669-00-2,C12H14N2O2S,O=C(O)C(N)CC1=CNC=2C(SC)=CC=CC12
4-(Methylthio)-L-tryptophan,122499492,,1989669-01-3,C12H14N2O2S,O=C(O)C(N)CC1=CNC=2C=CC=C(SC)C21
5-(4-Pyridinyl)-L-tryptophan,122499592,,1989669-02-4,C16H15N3O2,O=C(O)C(N)CC1=CNC2=CC=C(C=C21)C=3C=CN=CC3
6-(4-Pyridinyl)-L-tryptophan,134259604,,1989669-03-5,C16H15N3O2,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C=3C=CN=CC3
7-(4-Pyridinyl)-L-tryptophan,122499643,,1989669-04-6,C16H15N3O2,O=C(O)C(N)CC1=CNC=2C(=CC=CC12)C=3C=CN=CC3
4-(4-Pyridinyl)-L-tryptophan,122499609,,1989669-05-7,C16H15N3O2,O=C(O)C(N)CC1=CNC2=CC=CC(C=3C=CN=CC3)=C21
4-Aminotryptophan,57484488,,1989669-06-8,C11H13N3O2,O=C(O)C(N)CC1=CNC=2C=CC=C(N)C21
5-Phenyltryptophan,85300171,,1989669-07-9,C17H16N2O2,O=C(O)C(N)CC1=CNC2=CC=C(C=C21)C=3C=CC=CC3
6-Phenyltryptophan,134259601,,1989669-08-0,C17H16N2O2,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C=3C=CC=CC3
7-Phenyltryptophan,122499549,,1989669-09-1,C17H16N2O2,O=C(O)C(N)CC1=CNC=2C(=CC=CC12)C=3C=CC=CC3
7-Ethenyltryptophan,122499654,,1989669-15-9,C13H14N2O2,O=C(O)C(N)CC1=CNC=2C(C=C)=CC=CC12
7-Ethynyltryptophan,122499614,,1989669-17-1,C13H12N2O2,O=C(O)C(N)CC1=CNC=2C(C#C)=CC=CC12
5-(Methylthio)tryptophan,86104362,,1989669-23-9,C12H14N2O2S,O=C(O)C(N)CC1=CNC=2C=CC(SC)=CC21
4-Bromo-1-methyltryptophan,122499512,,1989669-33-1,C12H13BrN2O2,O=C(O)C(N)CC1=CN(C=2C=CC=C(Br)C21)C
5-Amino-1-methyltryptophan,122499559,,1989669-34-2,C12H15N3O2,O=C(O)C(N)CC1=CN(C=2C=CC(N)=CC21)C
7-Amino-1-methyltryptophan,122499517,,1989669-36-4,C12H15N3O2,O=C(O)C(N)CC1=CN(C=2C(N)=CC=CC12)C
4-Amino-1-methyltryptophan,122499505,,1989669-37-5,C12H15N3O2,O=C(O)C(N)CC1=CN(C=2C=CC=C(N)C21)C
1-Methyl-5-phenyltryptophan,122499516,,1989669-38-6,C18H18N2O2,O=C(O)C(N)CC1=CN(C2=CC=C(C=C21)C=3C=CC=CC3)C
1-Methyl-6-phenyltryptophan,134259605,,1989669-39-7,C18H18N2O2,O=C(O)C(N)CC1=CN(C=2C=C(C=CC21)C=3C=CC=CC3)C
1-Methyl-7-phenyltryptophan,122499508,,1989669-40-0,C18H18N2O2,O=C(O)C(N)CC1=CN(C=2C(=CC=CC12)C=3C=CC=CC3)C
1-Methyl-4-phenyltryptophan,122499523,,1989669-41-1,C18H18N2O2,O=C(O)C(N)CC1=CN(C=2C=CC=C(C=3C=CC=CC3)C21)C
5-Cyclopropyl-1-methyltryptophan,122499526,,1989669-42-2,C15H18N2O2,O=C(O)C(N)CC1=CN(C=2C=CC(=CC21)C3CC3)C
6-Cyclopropyl-1-methyltryptophan,122499519,,1989669-43-3,C15H18N2O2,O=C(O)C(N)CC1=CN(C=2C=C(C=CC21)C3CC3)C
7-Cyclopropyl-1-methyltryptophan,122499652,,1989669-44-4,C15H18N2O2,O=C(O)C(N)CC1=CN(C2=C1C=CC=C2C3CC3)C
4-Cyclopropyl-1-methyltryptophan,122499619,,1989669-45-5,C15H18N2O2,O=C(O)C(N)CC1=CN(C2=CC=CC(=C21)C3CC3)C
5-Ethenyl-1-methyltryptophan,122499655,,1989669-46-6,C14H16N2O2,O=C(O)C(N)CC1=CN(C=2C=CC(C=C)=CC21)C
6-Ethenyl-1-methyltryptophan,122499518,,1989669-47-7,C14H16N2O2,O=C(O)C(N)CC1=CN(C=2C=C(C=C)C=CC21)C
7-Ethenyl-1-methyltryptophan,122499524,,1989669-48-8,C14H16N2O2,O=C(O)C(N)CC1=CN(C=2C(C=C)=CC=CC12)C
4-Ethenyl-1-methyltryptophan,122499658,,1989669-49-9,C14H16N2O2,O=C(O)C(N)CC1=CN(C=2C=CC=C(C=C)C21)C
5-Ethynyl-1-methyltryptophan,122499562,,1989669-50-2,C14H14N2O2,O=C(O)C(N)CC1=CN(C=2C=CC(C#C)=CC21)C
6-Ethynyl-1-methyltryptophan,122499659,,1989669-51-3,C14H14N2O2,O=C(O)C(N)CC1=CN(C=2C=C(C#C)C=CC21)C
7-Ethynyl-1-methyltryptophan,122499531,,1989669-52-4,C14H14N2O2,O=C(O)C(N)CC1=CN(C=2C(C#C)=CC=CC12)C
4-Ethynyl-1-methyltryptophan,122499615,,1989669-53-5,C14H14N2O2,O=C(O)C(N)CC1=CN(C=2C=CC=C(C#C)C21)C
1-Methyl-5-(4-morpholinyl)tryptophan,134259606,,1989669-54-6,C16H21N3O3,O=C(O)C(N)CC1=CN(C=2C=CC(=CC21)N3CCOCC3)C
1-Methyl-6-(4-morpholinyl)tryptophan,122499550,,1989669-55-7,C16H21N3O3,O=C(O)C(N)CC1=CN(C=2C=C(C=CC21)N3CCOCC3)C
4-Chloro-2-methyltryptophan,122499563,,1989669-56-8,C12H13ClN2O2,O=C(O)C(N)CC=1C=2C(Cl)=CC=CC2NC1C
1-Methyl-4-(4-morpholinyl)tryptophan,122499527,,1989669-57-9,C16H21N3O3,O=C(O)C(N)CC1=CN(C2=CC=CC(=C21)N3CCOCC3)C
1-Methyl-5-(methylthio)tryptophan,122499628,,1989669-58-0,C13H16N2O2S,O=C(O)C(N)CC1=CN(C=2C=CC(SC)=CC21)C
1-Methyl-6-(methylthio)tryptophan,122499532,,1989669-59-1,C13H16N2O2S,O=C(O)C(N)CC1=CN(C=2C=C(SC)C=CC21)C
1-Methyl-7-(methylthio)tryptophan,122499662,,1989669-60-4,C13H16N2O2S,O=C(O)C(N)CC1=CN(C=2C(SC)=CC=CC12)C
1-Methyl-4-(methylthio)tryptophan,122499534,,1989669-61-5,C13H16N2O2S,O=C(O)C(N)CC1=CN(C=2C=CC=C(SC)C21)C
1-Methyl-5-(4-pyridinyl)tryptophan,122499644,,1989669-62-6,C17H17N3O2,O=C(O)C(N)CC1=CN(C2=CC=C(C=C21)C=3C=CN=CC3)C
1-Methyl-6-(4-pyridinyl)tryptophan,134259607,,1989669-63-7,C17H17N3O2,O=C(O)C(N)CC1=CN(C=2C=C(C=CC21)C=3C=CN=CC3)C
1-Methyl-7-(4-pyridinyl)tryptophan,122499613,,1989669-64-8,C17H17N3O2,O=C(O)C(N)CC1=CN(C=2C(=CC=CC12)C=3C=CN=CC3)C
1-Methyl-4-(4-pyridinyl)tryptophan,122499556,,1989669-65-9,C17H17N3O2,O=C(O)C(N)CC1=CN(C=2C=CC=C(C=3C=CN=CC3)C21)C
"2,6-Dimethyltryptophan",82390333,,1989669-66-0,C13H16N2O2,O=C(O)C(N)CC=1C=2C=CC(=CC2NC1C)C
6-Bromo-2-methyltryptophan,122499564,,1989669-67-1,C12H13BrN2O2,O=C(O)C(N)CC=1C=2C=CC(Br)=CC2NC1C
7-Bromo-2-methyltryptophan,134259608,,1989669-68-2,C12H13BrN2O2,O=C(O)C(N)CC=1C=2C=CC=C(Br)C2NC1C
4-Bromo-2-methyltryptophan,122499561,,1989669-69-3,C12H13BrN2O2,O=C(O)C(N)CC=1C=2C(Br)=CC=CC2NC1C
7-Methoxy-2-methyltryptophan,122499565,,1989669-71-7,C13H16N2O3,O=C(O)C(N)CC=1C=2C=CC=C(OC)C2NC1C
4-Methoxy-2-methyltryptophan,122499665,,1989669-72-8,C13H16N2O3,O=C(O)C(N)CC=1C=2C(OC)=CC=CC2NC1C
5-Amino-2-methyltryptophan,122499514,,1989669-73-9,C12H15N3O2,O=C(O)C(N)CC=1C=2C=C(N)C=CC2NC1C
6-Amino-2-methyltryptophan,126583943,,1989669-74-0,C12H15N3O2,O=C(O)C(N)CC=1C=2C=CC(N)=CC2NC1C
7-Amino-2-methyltryptophan,122499525,,1989669-75-1,C12H15N3O2,O=C(O)C(N)CC=1C=2C=CC=C(N)C2NC1C
4-Amino-2-methyltryptophan,134259609,,1989669-76-2,C12H15N3O2,O=C(O)C(N)CC=1C=2C(N)=CC=CC2NC1C
2-Methyl-5-phenyltryptophan,122499600,,1989669-77-3,C18H18N2O2,O=C(O)C(N)CC=1C2=CC(=CC=C2NC1C)C=3C=CC=CC3
2-Methyl-6-phenyltryptophan,134259610,,1989669-78-4,C18H18N2O2,O=C(O)C(N)CC=1C=2C=CC(=CC2NC1C)C=3C=CC=CC3
2-Methyl-7-phenyltryptophan,126584278,,1989669-79-5,C18H18N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C=3C=CC=CC3)C2NC1C
2-Methyl-4-phenyltryptophan,122499482,,1989669-80-8,C18H18N2O2,O=C(O)C(N)CC=1C=2C(=CC=CC2C=3C=CC=CC3)NC1C
5-Cyclopropyl-2-methyltryptophan,122499529,,1989669-81-9,C15H18N2O2,O=C(O)C(N)CC=1C=2C=C(C=CC2NC1C)C3CC3
6-Cyclopropyl-2-methyltryptophan,122499520,,1989669-82-0,C15H18N2O2,O=C(O)C(N)CC=1C=2C=CC(=CC2NC1C)C3CC3
7-Cyclopropyl-2-methyltryptophan,122499616,,1989669-83-1,C15H18N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C2NC1C)C3CC3
4-Cyclopropyl-2-methyltryptophan,122499539,,1989669-84-2,C15H18N2O2,O=C(O)C(N)CC=1C=2C(=CC=CC2C3CC3)NC1C
5-Ethenyl-2-methyltryptophan,122499569,,1989669-85-3,C14H16N2O2,O=C(O)C(N)CC=1C=2C=C(C=C)C=CC2NC1C
6-Ethenyl-2-methyltryptophan,122499545,,1989669-86-4,C14H16N2O2,O=C(O)C(N)CC=1C=2C=CC(C=C)=CC2NC1C
7-Ethenyl-2-methyltryptophan,122499572,,1989669-87-5,C14H16N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C=C)C2NC1C
5-Ethynyl-2-methyltryptophan,122499573,,1989669-89-7,C14H14N2O2,O=C(O)C(N)CC=1C=2C=C(C#C)C=CC2NC1C
6-Ethynyl-2-methyltryptophan,134259612,,1989669-90-0,C14H14N2O2,O=C(O)C(N)CC=1C=2C=CC(C#C)=CC2NC1C
7-Ethynyl-2-methyltryptophan,122499543,,1989669-91-1,C14H14N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C#C)C2NC1C
4-Ethynyl-2-methyltryptophan,122499547,,1989669-92-2,C14H14N2O2,O=C(O)C(N)CC=1C=2C(C#C)=CC=CC2NC1C
2-Methyl-5-(4-morpholinyl)tryptophan,122499570,,1989669-93-3,C16H21N3O3,O=C(O)C(N)CC=1C=2C=C(C=CC2NC1C)N3CCOCC3
2-Methyl-6-(4-morpholinyl)tryptophan,122499656,,1989669-94-4,C16H21N3O3,O=C(O)C(N)CC=1C=2C=CC(=CC2NC1C)N3CCOCC3
2-Methyl-7-(4-morpholinyl)tryptophan,122499623,,1989669-95-5,C16H21N3O3,O=C(O)C(N)CC=1C=2C=CC=C(C2NC1C)N3CCOCC3
2-Methyl-4-(4-morpholinyl)tryptophan,122499636,,1989669-96-6,C16H21N3O3,O=C(O)C(N)CC=1C=2C(=CC=CC2N3CCOCC3)NC1C
2-Methyl-5-(methylthio)tryptophan,122499625,,1989669-97-7,C13H16N2O2S,O=C(O)C(N)CC=1C=2C=C(SC)C=CC2NC1C
2-Methyl-6-(methylthio)tryptophan,122499575,,1989669-98-8,C13H16N2O2S,O=C(O)C(N)CC=1C=2C=CC(SC)=CC2NC1C
2-Methyl-7-(methylthio)tryptophan,122499664,,1989669-99-9,C13H16N2O2S,O=C(O)C(N)CC=1C=2C=CC=C(SC)C2NC1C
2-Methyl-4-(methylthio)tryptophan,122499535,,1989670-00-9,C13H16N2O2S,O=C(O)C(N)CC=1C=2C(SC)=CC=CC2NC1C
2-Methyl-5-(4-pyridinyl)tryptophan,126584280,,1989670-01-0,C17H17N3O2,O=C(O)C(N)CC=1C2=CC(=CC=C2NC1C)C=3C=CN=CC3
2-Methyl-6-(4-pyridinyl)tryptophan,122499637,,1989670-02-1,C17H17N3O2,O=C(O)C(N)CC=1C=2C=CC(=CC2NC1C)C=3C=CN=CC3
2-Methyl-7-(4-pyridinyl)tryptophan,122499635,,1989670-03-2,C17H17N3O2,O=C(O)C(N)CC=1C=2C=CC=C(C=3C=CN=CC3)C2NC1C
2-Methyl-4-(4-pyridinyl)tryptophan,122499621,,1989670-04-3,C17H17N3O2,O=C(O)C(N)CC=1C=2C(=CC=CC2C=3C=CN=CC3)NC1C
"1,2,7-Trimethyltryptophan",134259614,,1989670-06-5,C14H18N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C2N(C1C)C)C
"1,2-Dimethyl-6-phenyltryptophan",134259617,,1989670-26-9,C19H20N2O2,O=C(O)C(N)CC=1C=2C=CC(=CC2N(C1C)C)C=3C=CC=CC3
"1,2-Dimethyl-7-phenyltryptophan",126584119,,1989670-27-0,C19H20N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C=3C=CC=CC3)C2N(C1C)C
"6-Cyclopropyl-1,2-dimethyltryptophan",122499639,,1989670-30-5,C16H20N2O2,O=C(O)C(N)CC=1C=2C=CC(=CC2N(C1C)C)C3CC3
"5-Ethenyl-1,2-dimethyltryptophan",122499515,,1989670-33-8,C15H18N2O2,O=C(O)C(N)CC=1C=2C=C(C=C)C=CC2N(C1C)C
"6-Ethenyl-1,2-dimethyltryptophan",122499663,,1989670-34-9,C15H18N2O2,O=C(O)C(N)CC=1C=2C=CC(C=C)=CC2N(C1C)C
"7-Ethenyl-1,2-dimethyltryptophan",122499576,,1989670-35-0,C15H18N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C=C)C2N(C1C)C
"4-Ethenyl-1,2-dimethyltryptophan",134259618,,1989670-36-1,C15H18N2O2,O=C(O)C(N)CC=1C=2C(C=C)=CC=CC2N(C1C)C
"5-Ethynyl-1,2-dimethyltryptophan",122499638,,1989670-37-2,C15H16N2O2,O=C(O)C(N)CC=1C=2C=C(C#C)C=CC2N(C1C)C
"6-Ethynyl-1,2-dimethyltryptophan",134259619,,1989670-38-3,C15H16N2O2,O=C(O)C(N)CC=1C=2C=CC(C#C)=CC2N(C1C)C
"7-Ethynyl-1,2-dimethyltryptophan",122499551,,1989670-39-4,C15H16N2O2,O=C(O)C(N)CC=1C=2C=CC=C(C#C)C2N(C1C)C
"4-Ethynyl-1,2-dimethyltryptophan",122499657,,1989670-40-7,C15H16N2O2,O=C(O)C(N)CC=1C=2C(C#C)=CC=CC2N(C1C)C
"1,2-Dimethyl-6-(4-morpholinyl)tryptophan",122499670,,1989670-42-9,C17H23N3O3,O=C(O)C(N)CC=1C=2C=CC(=CC2N(C1C)C)N3CCOCC3
"1,2-Dimethyl-7-(4-morpholinyl)tryptophan",122499631,,1989670-43-0,C17H23N3O3,O=C(O)C(N)CC=1C=2C=CC=C(C2N(C1C)C)N3CCOCC3
"1,2-Dimethyl-6-(methylthio)tryptophan",122499629,,1989670-46-3,C14H18N2O2S,O=C(O)C(N)CC=1C=2C=CC(SC)=CC2N(C1C)C
"1,2-Dimethyl-7-(methylthio)tryptophan",122499671,,1989670-47-4,C14H18N2O2S,O=C(O)C(N)CC=1C=2C=CC=C(SC)C2N(C1C)C
"1,2-Dimethyl-6-(4-pyridinyl)tryptophan",122499640,,1989670-50-9,C18H19N3O2,O=C(O)C(N)CC=1C=2C=CC(=CC2N(C1C)C)C=3C=CN=CC3
"1,2-Dimethyl-7-(4-pyridinyl)tryptophan",122499633,,1989670-51-0,C18H19N3O2,O=C(O)C(N)CC=1C=2C=CC=C(C=3C=CN=CC3)C2N(C1C)C
4-Methoxytryptophan,11253302,,199540-73-3,C12H14N2O3,O=C(O)C(N)CC1=CNC=2C=CC=C(OC)C21
1-Methyl-7-(4-morpholinyl)tryptophan,122499522,,2060651-60-5,C16H21N3O3,O=C(O)C(N)CC1=CN(C2=C1C=CC=C2N3CCOCC3)C
6-Ethenyltryptophan,122499607,,2225849-83-0,C13H14N2O2,O=C(O)C(N)CC1=CNC=2C=C(C=C)C=CC21
6-Methyl-DL-tryptophan,95319,,2280-85-5,C12H14N2O2,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C
6-Amino-L-tryptophan,249090,,2462-30-8,C11H13N3O2,O=C(O)C(N)CC1=CNC=2C=C(N)C=CC21
5-Methoxy-L-tryptophan,119802,,25197-96-0,C12H14N2O3,O=C(O)C(N)CC1=CNC=2C=CC(OC)=CC21
5-Bromo-L-tryptophan,96735,,25197-99-3,C11H11BrN2O2,O=C(O)C(N)CC1=CNC=2C=CC(Br)=CC21
5-Amino-L-tryptophan,4018454,,25198-00-9,C11H13N3O2,O=C(O)C(N)CC1=CNC=2C=CC(N)=CC21
7-Hydroxy-L-tryptophan,2763071,,25198-02-1,C11H12N2O3,O=C(O)C(N)CC1=CNC=2C(O)=CC=CC12
7-Methoxy-L-tryptophan,352939,,25198-03-2,C12H14N2O3,O=C(O)C(N)CC1=CNC=2C(OC)=CC=CC12
4-Hydroxy-L-tryptophan,589768,,25242-90-4,C11H12N2O3,O=C(O)C(N)CC1=CNC=2C=CC=C(O)C21
4-Fluorotryptophan,101198,,25631-05-4,C11H11FN2O2,O=C(O)C(N)CC1=CNC=2C=CC=C(F)C21
4-Bromotryptophan,11748029,,25796-04-7,C11H11BrN2O2,O=C(O)C(N)CC1=CNC=2C=CC=C(Br)C21
"Tryptophan, 5-hydroxy-2-methyl-",71058597,,25956-70-1,C12H14N2O3,O=C(O)C(N)CC=1C=2C=C(O)C=CC2NC1C
L-Tryptophanol,10684,,2899-29-8,C11H14N2O,OCC(N)CC1=CNC=2C=CC=CC21
6-Chloro-L-tryptophan,65259,,33468-35-8,C11H11ClN2O2,O=C(O)C(N)CC1=CNC=2C=C(Cl)C=CC21
6-Bromotryptophan,3496442,,33599-61-0,C11H11BrN2O2,O=C(O)C(N)CC1=CNC=2C=C(Br)C=CC21
6-Methoxytryptophan,352941,,33600-67-8,C12H14N2O3,O=C(O)C(N)CC1=CNC=2C=C(OC)C=CC21
Indole-3-pyruvic acid,803,,392-12-1,C11H9NO3,O=C(O)C(=O)CC1=CNC=2C=CC=CC21
5-Hydroxy-L-tryptophan,144,,895096,C11H12N2O3,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21
"Tryptophan, 5-methoxy-2-methyl-",53441228,,442-60-4,C13H16N2O3,O=C(O)C(N)CC=1C=2C=C(OC)C=CC2NC1C
Serotonin,5202,,50-67-9,C10H12N2O,OC=1C=CC=2NC=C(C2C1)CCN
4-Chloro-L-tryptophan,14048817,,52448-14-3,C11H11ClN2O2,O=C(O)C(N)CC1=CNC=2C=CC=C(Cl)C21
5-Chloro-L-tryptophan,596210,,52448-15-4,C11H11ClN2O2,O=C(O)C(N)CC1=CNC=2C=CC(Cl)=CC21
7-Fluorotryptophan,9920885,,53314-95-7,C11H11FN2O2,O=C(O)C(N)CC1=CNC=2C(F)=CC=CC12
"alpha-Amino-1H-pyrrolo[2,3-b]pyridine-3-propanoic acid",5354789,,7303-50-6,C10H11N3O2,O=C(O)C(N)CC1=CNC=2N=CC=CC21
7-Chloro-L-tryptophan,643956,,73945-46-7,C11H11ClN2O2,O=C(O)C(N)CC1=CNC=2C(Cl)=CC=CC12
7-Bromo-L-tryptophan,22326367,,75816-19-2,C11H11BrN2O2,O=C(O)C(N)CC1=CNC=2C(Br)=CC=CC12
Indole-3-carboxylic acid,69867,,771-50-6,C9H7NO2,O=C(O)C1=CNC=2C=CC=CC21
6-Fluorotryptophan,94937,,7730-20-3,C11H11FN2O2,O=C(O)C(N)CC1=CNC=2C=C(F)C=CC21
7-Chloro-1-methyltryptophan,82665253,,870481-82-6,C12H13ClN2O2,O=C(O)C(N)CC1=CN(C=2C(Cl)=CC=CC12)C
Indole-3-acetic acid,802,,87-51-4,C10H9NO2,O=C(O)CC1=CNC=2C=CC=CC21
7-Aminotryptophan,22326407,,91332-30-8,C11H13N3O2,O=C(O)C(N)CC1=CNC=2C(N)=CC=CC12
